id_partida;rodada;data;hora;id_time_mandante;mandante;visitante;vencedor;arena;mandante_Placar;visitante_Placar;mandante_Estado;visitante_Estado;mandante_vencedor;visitante_vencedor
4607;1;19/04/2014;18:28;1;Fluminense;Figueirense;Fluminense; Maracanã;3;0;RJ;SC;1;0
4608;1;19/04/2014;18:31;2;Internacional;Vitoria;Internacional;Estádio José Pinheiro Borda;1;0;RS;BA;1;0
4609;1;19/04/2014;20:59;3;Chapecoense;Coritiba;Empate;Arena Condá;0;0;SC;PR;0;0
4612;1;20/04/2014;15:58;4;Bahia;Cruzeiro;Cruzeiro;Itaipava Arena Fonte Nova;1;2;BA;MG;0;1
4611;1;20/04/2014;15:59;5;Sao Paulo;Botafogo-RJ;Sao Paulo; Morumbi;3;0;SP;RJ;1;0
4610;1;20/04/2014;16:00;6;Athletico-PR;Gremio;Athletico-PR; Orlando Scarpelli;1;0;PR;RS;1;0
4613;1;20/04/2014;16:02;7;Atletico-MG;Corinthians;Empate;Estádio Municipal Parque do Sabiá;0;0;MG;SP;0;0
4614;1;20/04/2014;18:28;8;Flamengo;Goias;Empate;Estádio Nacional de Brasília;0;0;RJ;GO;0;0
4615;1;20/04/2014;18:31;9;Santos;Sport;Empate;Estádio Urbano Caldeira;1;1;SP;PE;0;0
4616;1;20/04/2014;18:33;10;Criciuma;Palmeiras;Palmeiras;Estádio Heriberto Hülse;1;2;SC;SP;0;1
4617;2;26/04/2014;18:32;11;Coritiba;Santos;Empate; Couto Pereira;0;0;PR;SP;0;0
4618;2;26/04/2014;21:00;12;Palmeiras;Fluminense;Fluminense;Estádio Municipal Paulo Machado de Carvalho;0;1;SP;RJ;0;1
4620;2;27/04/2014;16:00;13;Vitoria;Athletico-PR;Empate;Estádio de Pituaçu;2;2;BA;PR;0;0
4622;2;27/04/2014;16:00;14;Cruzeiro;Sao Paulo;Empate;Estádio Municipal Parque do Sabiá;1;1;MG;SP;0;0
4619;2;27/04/2014;16:01;15;Botafogo-RJ;Internacional;Empate; Maracanã;2;2;RJ;RS;0;0
4621;2;27/04/2014;16:02;16;Corinthians;Flamengo;Corinthians;Estádio Municipal Paulo Machado de Carvalho;2;0;SP;RJ;1;0
4626;2;27/04/2014;18:29;17;Sport;Chapecoense;Sport;Adelmar da Costa Carvalho;2;1;PE;SC;1;0
4623;2;27/04/2014;18:30;18;Figueirense;Bahia;Bahia;Arena Barueri;0;2;SC;BA;0;1
4624;2;27/04/2014;18:31;19;Gremio;Atletico-MG;Gremio;Arena do Grêmio;2;1;RS;MG;1;0
4625;2;27/04/2014;18:32;20;Goias;Criciuma;Goias;Estádio Municipal Juscelino Kubitschek;1;0;GO;SC;1;0
4628;3;03/05/2014;18:27;6;Athletico-PR;Cruzeiro;Cruzeiro;Estádio Nacional de Brasília;2;3;PR;MG;0;1
4627;3;03/05/2014;18:30;9;Santos;Gremio;Empate;Estádio Urbano Caldeira;0;0;SP;RS;0;0
4629;3;03/05/2014;18:32;5;Sao Paulo;Coritiba;Empate;Estádio Municipal Paulo Machado de Carvalho;2;2;SP;PR;0;0
4630;3;03/05/2014;20:59;1;Fluminense;Vitoria;Vitoria; Maracanã;1;2;RJ;BA;0;1
4631;3;04/05/2014;15:59;10;Criciuma;Figueirense;Criciuma;Estádio Heriberto Hülse;1;0;SC;SC;1;0
