data;Mes;Ano
19/04/2014;4;2014
20/04/2014;4;2014
26/04/2014;4;2014
27/04/2014;4;2014
03/05/2014;5;2014
04/05/2014;5;2014
10/05/2014;5;2014
11/05/2014;5;2014
14/05/2014;5;2014
17/05/2014;5;2014
18/05/2014;5;2014
21/05/2014;5;2014
22/05/2014;5;2014
24/05/2014;5;2014
25/05/2014;5;2014
28/05/2014;5;2014
29/05/2014;5;2014
31/05/2014;5;2014
01/06/2014;6;2014
04/06/2014;6;2014
16/07/2014;7;2014
17/07/2014;7;2014
19/07/2014;7;2014
20/07/2014;7;2014
26/07/2014;7;2014
27/07/2014;7;2014
02/08/2014;8;2014
03/08/2014;8;2014
06/08/2014;8;2014
09/08/2014;8;2014
10/08/2014;8;2014
16/08/2014;8;2014
17/08/2014;8;2014
20/08/2014;8;2014
21/08/2014;8;2014
23/08/2014;8;2014
24/08/2014;8;2014
30/08/2014;8;2014
31/08/2014;8;2014
06/09/2014;9;2014
07/09/2014;9;2014
10/09/2014;9;2014
11/09/2014;9;2014
13/09/2014;9;2014
14/09/2014;9;2014
17/09/2014;9;2014
18/09/2014;9;2014
20/09/2014;9;2014
21/09/2014;9;2014
24/09/2014;9;2014
25/09/2014;9;2014
27/09/2014;9;2014
28/09/2014;9;2014
02/10/2014;10;2014
04/10/2014;10;2014
08/10/2014;10;2014
09/10/2014;10;2014
11/10/2014;10;2014
12/10/2014;10;2014
18/10/2014;10;2014
19/10/2014;10;2014
21/10/2014;10;2014
22/10/2014;10;2014
25/10/2014;10;2014
27/10/2014;10;2014
01/11/2014;11;2014
02/11/2014;11;2014
08/11/2014;11;2014
09/11/2014;11;2014
12/11/2014;11;2014
15/11/2014;11;2014
16/11/2014;11;2014
19/11/2014;11;2014
20/11/2014;11;2014
22/11/2014;11;2014
23/11/2014;11;2014
29/11/2014;11;2014
30/11/2014;11;2014
06/12/2014;12;2014
07/12/2014;12;2014
09/05/2015;5;2015
10/05/2015;5;2015
16/05/2015;5;2015
17/05/2015;5;2015
23/05/2015;5;2015
24/05/2015;5;2015
30/05/2015;5;2015
31/05/2015;5;2015
03/06/2015;6;2015
04/06/2015;6;2015
06/06/2015;6;2015
07/06/2015;6;2015
10/06/2015;6;2015
13/06/2015;6;2015
14/06/2015;6;2015
18/06/2015;6;2015
20/06/2015;6;2015
21/06/2015;6;2015
24/06/2015;6;2015
27/06/2015;6;2015
28/06/2015;6;2015
01/07/2015;7;2015
02/07/2015;7;2015
04/07/2015;7;2015
05/07/2015;7;2015
08/07/2015;7;2015
09/07/2015;7;2015
11/07/2015;7;2015
12/07/2015;7;2015
18/07/2015;7;2015
19/07/2015;7;2015
25/07/2015;7;2015
26/07/2015;7;2015
29/07/2015;7;2015
01/08/2015;8;2015
02/08/2015;8;2015
08/08/2015;8;2015
09/08/2015;8;2015
12/08/2015;8;2015
13/08/2015;8;2015
15/08/2015;8;2015
16/08/2015;8;2015
22/08/2015;8;2015
23/08/2015;8;2015
29/08/2015;8;2015
30/08/2015;8;2015
02/09/2015;9;2015
03/09/2015;9;2015
05/09/2015;9;2015
06/09/2015;9;2015
09/09/2015;9;2015
10/09/2015;9;2015
12/09/2015;9;2015
13/09/2015;9;2015
16/09/2015;9;2015
17/09/2015;9;2015
19/09/2015;9;2015
20/09/2015;9;2015
26/09/2015;9;2015
27/09/2015;9;2015
03/10/2015;10;2015
04/10/2015;10;2015
14/10/2015;10;2015
15/10/2015;10;2015
17/10/2015;10;2015
18/10/2015;10;2015
24/10/2015;10;2015
25/10/2015;10;2015
31/10/2015;10;2015
01/11/2015;11;2015
07/11/2015;11;2015
08/11/2015;11;2015
15/11/2015;11;2015
18/11/2015;11;2015
19/11/2015;11;2015
21/11/2015;11;2015
22/11/2015;11;2015
28/11/2015;11;2015
29/11/2015;11;2015
06/12/2015;12;2015
14/05/2016;5;2016
15/05/2016;5;2016
21/05/2016;5;2016
22/05/2016;5;2016
25/05/2016;5;2016
26/05/2016;5;2016
28/05/2016;5;2016
29/05/2016;5;2016
01/06/2016;6;2016
02/06/2016;6;2016
04/06/2016;6;2016
05/06/2016;6;2016
11/06/2016;6;2016
12/06/2016;6;2016
