id_partida;data;id_time;time;atleta_marcador;minuto;tipo_de_gol;Tempo
4607;19/04/2014;1;Fluminense;Nirley da Silva Fonseca;59;Gol Contra;Segundo tempo
4607;19/04/2014;1;Fluminense;Fred;45;Penalty;Primeiro Tempo
4607;19/04/2014;1;Fluminense;Rafael S√≥bis;31;;Primeiro Tempo
4608;19/04/2014;2;Internacional;Charles Ar√°nguiz;6;;Primeiro Tempo
4612;20/04/2014;14;Cruzeiro;N√≠lton Ferreira J√∫nior;63;;Segundo tempo
4612;20/04/2014;14;Cruzeiro;Marcelo Moreno;90;;Segundo tempo
4612;20/04/2014;4;Bahia;Anderson Talisca;80;Penalty;Segundo tempo
4611;20/04/2014;5;Sao Paulo;Ant√¥nio Carlos dos Santos Aguiar;13;;Primeiro Tempo
4611;20/04/2014;5;Sao Paulo;Douglas Pereira dos Santos;22;;Primeiro Tempo
4611;20/04/2014;5;Sao Paulo;Lu√≠s Fabiano;56;;Segundo tempo
4610;20/04/2014;6;Athletico-PR;Dr√°usio Luis Salla Gil;16;;Primeiro Tempo
4615;20/04/2014;9;Santos;Gabriel Barbosa;80;;Segundo tempo
4615;20/04/2014;17;Sport;Neto Baiano;73;;Segundo tempo
4616;20/04/2014;10;Criciuma;Paulo Baier;12;;Primeiro Tempo
4616;20/04/2014;12;Palmeiras;Leandro;83;;Segundo tempo
4616;20/04/2014;12;Palmeiras;Alan Kardec;88;;Segundo tempo
4618;26/04/2014;1;Fluminense;Rafael S√≥bis;45;;Primeiro Tempo
4620;27/04/2014;13;Vitoria;Telm√°rio de Ara√∫jo Sacramento;11;;Primeiro Tempo
4620;27/04/2014;13;Vitoria;Jos√© Welison;36;;Primeiro Tempo
4620;27/04/2014;6;Athletico-PR;Mosquito;78;;Segundo tempo
4620;27/04/2014;6;Athletico-PR;Marcelo Cirino da Silva;83;;Segundo tempo
4622;27/04/2014;14;Cruzeiro;J√∫lio Baptista;50;;Segundo tempo
4632;04/05/2014;2;Internacional;Charles Ar√°nguiz;45+1;;AcrÈscimo 1∫ Tempo
4619;27/04/2014;15;Botafogo-RJ;Emerson Sheik;64;;Segundo tempo
4619;27/04/2014;15;Botafogo-RJ;Pablo Zeballos;75;;Segundo tempo
4619;27/04/2014;2;Internacional;Rafael Moura;9;;Primeiro Tempo
4619;27/04/2014;2;Internacional;Rafael Moura;35;;Primeiro Tempo
4621;27/04/2014;16;Corinthians;Guilherme dos Santos Torres;9;;Primeiro Tempo
4621;27/04/2014;16;Corinthians;Carlos Gilberto do Nascimento Silva;80;;Segundo tempo
4626;27/04/2014;3;Chapecoense;Ricardo Concei√ß√£o;37;;Primeiro Tempo
4626;27/04/2014;17;Sport;Rithely;12;;Primeiro Tempo
4626;27/04/2014;17;Sport;Ananias El√≥i Castro Monteiro;38;;Primeiro Tempo
4623;27/04/2014;4;Bahia;Lincoln C√°ssio de Souza Soares;8;;Primeiro Tempo
4623;27/04/2014;4;Bahia;Fahel;74;;Segundo tempo
4624;27/04/2014;7;Atletico-MG;Luiz Fernando Pereira da Silva;84;;Segundo tempo
4624;27/04/2014;19;Gremio;Alan Ruiz;11;;Primeiro Tempo
4624;27/04/2014;19;Gremio;Lucas Coelho;22;;Primeiro Tempo
4625;27/04/2014;20;Goias;Willian Jos√© de Souza;82;;Segundo tempo
4628;03/05/2014;14;Cruzeiro;Elierce Barbosa de Souza;75;Penalty;Segundo tempo
4628;03/05/2014;14;Cruzeiro;Marcelo Moreno;83;;Segundo tempo
4628;03/05/2014;6;Athletico-PR;√âderson Alves Ribeiro Silva;24;;Primeiro Tempo
4628;03/05/2014;6;Athletico-PR;Marcelo Cirino da Silva;40;;Primeiro Tempo
4628;03/05/2014;14;Cruzeiro;N√≠lton Ferreira J√∫nior;36;;Primeiro Tempo
4629;03/05/2014;11;Coritiba;Luis Francisco Grando;61;;Segundo tempo
4629;03/05/2014;5;Sao Paulo;Alexandre Pato;22;;Primeiro Tempo
4629;03/05/2014;5;Sao Paulo;Ademilson;72;;Segundo tempo
4629;03/05/2014;11;Coritiba;R√≥bson Michael Signorini;30;;Primeiro Tempo
4630;03/05/2014;1;Fluminense;Wagner Ferreira dos Santos;88;;Segundo tempo
4630;03/05/2014;13;Vitoria;Marcos Ant√¥nio da Silva Gon√ßalves;54;;Segundo tempo
4630;03/05/2014;13;Vitoria;Marcos Ant√¥nio da Silva Gon√ßalves;83;;Segundo tempo
4631;04/05/2014;10;Criciuma;Silvinho;14;;Primeiro Tempo
4634;04/05/2014;8;Flamengo;Alecsandro;73;;Segundo tempo
4634;04/05/2014;8;Flamengo;Paulinho;14;;Primeiro Tempo
4634;04/05/2014;12;Palmeiras;Wesley Lopes Beltrame;11;;Primeiro Tempo
4634;04/05/2014;12;Palmeiras;Henrique Dourado;31;;Primeiro Tempo
4634;04/05/2014;8;Flamengo;M√°rcio Rodrigues Ara√∫jo;50;;Segundo tempo
4634;04/05/2014;8;Flamengo;Alecsandro;60;;Segundo tempo
4633;04/05/2014;4;Bahia;Maxi Biancucchi;59;;Segundo tempo
4632;04/05/2014;2;Internacional;Andr√©s D'Alessandro;13;;Primeiro Tempo
4648;17/05/2014;14;Cruzeiro;Ricardo Goulart;45+1;;AcrÈscimo 1∫ Tempo
4632;04/05/2014;17;Sport;Patric Cabral Lalau;78;;Segundo tempo
4635;04/05/2014;16;Corinthians;Paolo Guerrero;78;;Segundo tempo
4636;04/05/2014;20;Goias;David Fran√ßa Oliveira e Silva;69;;Segundo tempo
4638;10/05/2014;12;Palmeiras;Lucimar da Silva Ferreira;16;;Primeiro Tempo
